SampleID,CM1,ADT-1,ADT-2,PAL-1,PAL-2,PAL-3,PAL-4,PAL-5,GS2,NADH-GOGAT,C4H,4CL-1,4CL-2,4CL-3,HCT-1,HCT-2,HCT-3,HCT-4,C3H-1,C3H-2,C3H-3,CPR,CCoAOMT-1,CCoAOMT-2,CCoAOMT-3,CCoAOMT-4,CCoAOMT-5,SAMSyn-1,SAMSyn-2,SAMSyn-3,SAMSyn-4,ALS-1,ALS-2,IPMI,BCAT-1,BCAT-2,BCKDH-E1a-1,BCKDH-E1a-2,BCKDH-E1a-3,BCKDH-E1a-4,BCKDH-E3-1,BCKDH-E3-2,BCKDH-E3-3,PDH-E1a,PDH-E1b,PDH-E3,BCCP,KasI-1,KasI-2,KasI-3,KasI-4,KasI-5,KasIII,KR-1,KR-2,DH,ENR,ACL-1,ACL-2,ACS1-1,ACS1-2,ACS2,FatA,CS-1,CS-2,CS-3,CS-4,CS-5,CS-6,CS-7,MYB108,MYB31p-1,MYB31p-2,MYB37,MYB48,Capsaicinoids content (mg/kg DW)
pep124,1.312987316,0.864030844,0.511303024,0.883611275,0.884743012,0.95139843,0.891379629,0.881958433,1.003215006,1.016063552,1.006785832,0.941312654,0.85077827,1.05455639,0.854986129,0.738663976,0.763578264,0.710120325,0.70016999,1.211945911,1.173253354,0.891619521,0.999917358,1.121242799,0.896945343,1.231573402,1.073989902,0.885409887,1.002401211,0.90628734,0.799770898,0.952494585,1.16337074,0.936113091,1.031436124,0.822836069,0.953609105,0.919535322,1.365993019,0.927340406,1.075865417,0.835116451,0.966159221,1.055422984,0.915470939,1.044454545,1.085835265,1.200651495,0.971147588,1.083070199,0.913868601,1.275844298,1.141819526,1.056562756,1.154130898,0.945906176,0.93920643,0.884732682,1.032839891,0.934313331,1.154245679,1.02148579,1.04635646,0.975986741,1.004388064,1.066725434,1.500952105,1.179589246,1.150320181,0.728985672,1.047943877,0.7657568,0.933252757,0.983547342,0.806703649,0
pep125,0.95662176,0.415728392,0.0,0.948541627,0.694948316,0.750975628,0.647771916,0.776476545,0.935477521,0.739150697,1.151096344,0.948702898,0.941590389,0.833840269,0.807487937,0.770558151,0.689569467,0.846141897,0.694182281,1.238439802,1.19441055,0.868423331,0.772602493,0.892022203,0.813765633,0.958395737,1.003405656,0.852767036,1.953236263,0.54411048,0.563587465,0.706833724,0.58065132,0.528141131,0.94566603,0.94734277,0.803664875,1.091930184,1.011515434,0.742510106,0.65094871,0.574036853,0.759298852,0.736266799,0.962978906,0.987314168,0.92733454,0.806305681,0.633106962,0.940788779,0.831762723,0.89969323,0.999978655,0.968192927,1.021355314,0.975878184,0.772126982,1.037806103,1.001924575,0.653472121,0.68872161,0.721447688,0.980680728,0.913014658,0.0,1.083433831,1.123000867,0.986503072,0.974067447,0.82863099,1.115540915,0.796928269,0.936784287,0.844546978,1.071363436,0
pep149,1.166990692,0.591390391,0.595395999,0.913520095,0.766149707,0.786156108,0.77433518,0.83138292,0.876211107,0.978780641,0.879821507,0.99493405,0.614370532,0.971929992,0.670205314,0.607726029,0.889931767,0.716294294,0.784527442,1.476847312,1.441984741,0.935262221,0.803119295,1.064080618,0.998765403,1.265553479,0.828362484,0.789153765,0.849040852,0.868443621,0.927536876,0.621888592,1.094453537,1.200235986,0.878171201,0.741857522,1.037299876,0.849931494,1.30513121,1.08701634,0.918018858,0.822680375,0.658726064,0.827759992,1.135079081,1.122885723,1.213629773,0.810752387,0.834864621,1.248993473,1.071392533,1.549385606,1.205850898,1.305199546,1.324504367,0.999413452,1.035281697,1.026658876,1.204655025,0.893002315,1.101588918,0.774815807,1.100816725,1.022443706,0.0,1.205475052,1.321326759,1.218880229,1.080440173,0.992365769,0.710154336,0.748080622,0.971707902,0.875482193,0.759707933,0
pep91,1.11984094,0.676387854,0.769514422,1.207927107,0.875442561,0.861083773,0.96398219,0.858704346,0.91809287,0.929180256,1.084647832,0.963202336,0.922203923,1.250751824,0.972784827,0.847240736,1.038529289,0.709963947,0.88985118,0.98813276,1.095927067,0.96876347,0.953953712,1.206185516,0.704970886,1.174346031,1.070401164,0.699773518,0.791385226,0.917542238,0.587337458,0.832924304,0.699915537,0.623873509,0.697443921,0.916575518,0.751296228,0.959616999,1.351691885,0.865600949,1.130993106,0.811997797,0.91809287,0.865673204,0.903235773,1.058429279,1.255403543,0.935441515,1.053578236,0.866709687,0.922804386,1.353286476,1.104769569,0.902707565,1.013907818,1.010516822,1.142827956,0.940053369,1.008959605,1.061847682,1.241298894,1.044920109,0.824453043,0.980815085,0.920021328,1.607553873,0.836888356,1.038646392,1.170680965,1.187753048,0.855602369,0.920988048,1.032108572,1.044040592,1.039331568,0
pep1,1.176780539,0.703871995,1.037192527,1.058361378,1.394080578,0.936929068,0.997104261,1.015334579,0.91530594,1.012597947,1.182690525,1.07084411,0.78364692,1.065976547,0.857735705,0.716593935,0.721248624,1.087428498,0.843247134,0.997797746,0.820436742,0.914660735,0.907563486,1.033040394,1.047987631,1.332884909,0.774717202,0.803389299,0.866617142,1.098168739,0.612288073,1.376649084,1.106306215,0.816161714,0.674530553,0.838809707,1.050550893,0.946102383,1.056436738,1.211248504,1.055414067,0.883344178,1.034006007,0.785784434,0.991216221,1.120735533,1.06742277,1.099046568,0.82725528,1.1555261,0.889249774,0.0,0.683297873,1.18893189,0.948443993,0.995844576,0.845171775,1.054066599,0.994911882,0.988064815,1.289147068,0.954167439,0.856361903,0.977190705,1.185938493,1.179264796,1.468843098,0.880153269,1.270188152,1.138011212,0.914114287,0.870962397,0.976736428,1.284457266,1.108832169,1
pep2,1.311188987,0.0,0.781494163,1.145802582,0.740476693,0.681376011,0.805254039,0.879722325,0.791426095,0.991144716,0.989339519,0.792615427,0.740572642,1.400542898,0.884352466,0.655000943,0.599713712,1.014413685,0.914886852,0.841831037,1.203669303,0.849743557,0.973614891,1.245958668,1.024327765,1.185528076,1.084164806,0.909752416,1.002060692,0.620679883,0.894447289,0.562824319,0.837263375,0.576982509,1.042323951,0.965050803,1.160594488,0.980514358,1.452971714,1.19386233,0.951722691,0.781304495,0.764247725,0.764417311,1.211164553,1.243836613,0.992204628,0.95343417,1.129040356,1.171102119,0.951849881,0.0,1.340031976,1.221663258,1.401584959,1.174139045,1.108067491,0.94286406,1.044881128,0.770703145,0.919363026,0.821817671,1.274388849,0.942826126,1.130941503,1.056993131,1.272556875,0.94927039,1.449017685,0.977131566,1.236756402,0.991372318,0.996221136,1.042004862,0.811620203,1
pep3,1.13823076,0.897028562,0.866236329,0.917222048,0.670544173,0.0,0.918119587,0.862600379,1.046252459,0.898236347,1.182851278,1.214997833,0.92217454,1.018284498,0.820867098,0.837757778,0.811796687,0.868629003,0.8282821,0.993502572,0.992283338,1.02098284,0.987038916,1.332364815,1.219474081,1.000997711,0.757013599,1.080932502,0.928461894,1.048712678,1.241557665,1.050405867,0.721915697,1.062961112,0.856958705,0.907447572,0.87451338,1.126591372,1.106470009,0.95974411,0.987733822,1.063482005,1.863000494,1.033815131,1.077499186,1.028085305,1.119672078,0.997979964,1.169674396,0.996214652,0.966063518,1.337321887,0.869483039,0.904403494,1.002552377,1.138434538,1.099705266,0.955930713,1.069289679,0.96245161,1.058872959,1.001652548,1.071851787,1.101701833,1.271826715,1.309640131,1.109682375,0.860260366,1.002702348,1.073797982,1.025969677,0.921436131,0.85096328,1.137478613,0.976567245,1
pep4,1.03019109,1.030443674,0.763146518,0.951888795,1.003023723,0.805799234,0.885459169,0.773678548,0.992752778,0.96821933,1.074220875,1.073153464,0.841493744,0.935235243,0.934025754,0.882845895,0.838931472,0.979993637,0.964978239,1.134536265,1.120795931,1.137260045,1.226563107,1.022127827,1.046290899,1.111184377,0.980823036,0.976134443,1.018630508,0.977387649,1.004791812,0.973264941,1.174201688,0.634567838,1.10571253,0.914590134,0.859826737,0.980507306,0.938722847,0.89522616,1.238245123,0.938201892,0.753851908,0.786477763,1.087585976,1.041786887,1.138212093,1.019247396,1.203118928,1.005465775,0.959682473,1.306637134,1.15562704,1.165097731,1.065727734,1.007233864,1.204186339,1.15612978,0.975399763,0.965587841,1.121953204,0.999741344,1.122134142,1.073257898,0.724400356,0.958062534,1.453305938,0.811370657,1.037302304,1.017355444,0.970174429,0.965083887,1.125289015,0.939702825,1.024239576,1
pep5,0.979325039,0.520748176,0.440631886,0.804851487,0.807518038,0.885149183,0.780203969,0.816863417,0.735114473,0.791555486,1.0404174,0.935337021,0.693734909,0.808740455,0.685347544,0.788038816,0.572064763,0.984827691,0.674029225,1.526313075,1.216571033,0.847500894,1.441716173,0.867436595,1.144505381,1.100773466,0.887591644,0.935428317,1.097128744,0.751984055,0.763200407,0.66882536,0.791531773,0.801963217,0.913869446,0.894278771,0.822570003,1.135898669,1.182750057,0.690831225,0.887258473,0.992484689,1.149882353,0.733784161,1.148039836,1.011403093,1.016158779,0.93111844,0.85821334,1.013788643,0.976306346,1.367730936,1.107377597,1.036727623,1.215456512,1.249010714,0.909119688,0.918354801,1.083052579,0.841869005,1.179271328,0.844917339,1.176469612,1.052831269,0.0,0.788430084,1.096442247,1.000278037,1.091033262,1.045812157,1.022749868,0.80531508,1.253480656,1.138900762,0.907340011,0
pep6,1.043632763,0.482404712,0.387022817,1.046145288,0.877524031,0.589830037,0.729212237,0.715172827,0.9292725,0.732088991,1.09061578,1.171669531,1.049476337,0.928297688,0.920440917,0.840274563,0.712240445,0.852140513,0.630268835,1.180045496,1.097658001,0.804961474,0.986583755,0.963960438,0.943151649,1.242767221,0.930766505,0.80899052,1.070832133,0.969912618,0.59831196,0.852695467,0.852780234,0.493095855,0.996521273,1.119860136,1.174008549,1.114721182,1.175808508,1.000288073,0.827780813,0.860719122,0.729402961,0.866681898,0.883386147,0.958330105,0.916267504,0.838735526,0.961430695,1.017739324,0.86356409,1.09128199,1.00521776,1.029229124,0.945869467,1.111380862,0.796226578,1.140626542,0.832938309,0.695341499,1.148405169,0.836485247,0.979958743,1.136057111,1.025482191,0.889205879,0.933359823,1.375173423,1.280968984,1.248490267,1.128381792,1.063722364,0.741376193,0.847825382,1.134523372,0
